6FDA-AP6F,,,,6FDA-PDODA,,,,ODPA-AP6F,,,,ODPA-PDODA,,
0.532593,1587.825771,2064.173502,,0.532593,1853.366255,3521.395884,,0.514242,2127.897317,2127.897317,,0.4476,105334.9918,52667.49589
0.535602,1527.029313,1985.138107,,0.535602,1855.20399,3524.887581,,0.517131,2102.367429,2102.367429,,0.450584,106025.9764,53012.98818
0.538611,1557.911356,2025.284763,,0.538611,1856.014698,3526.427927,,0.52002,2125.387471,2125.387471,,0.453568,106557.028,53278.51401
0.54162,1519.261353,1975.039759,,0.54162,1842.302329,3500.374425,,0.522909,2088.298492,2088.298492,,0.456552,107084.9494,53542.47468
0.544629,1490.638652,1937.830247,,0.544629,1862.738364,3539.202892,,0.525798,2069.342359,2069.342359,,0.459536,107538.774,53769.38698
0.547638,1501.322586,1951.719362,,0.547638,1892.931914,3596.570636,,0.528687,2041.073477,2041.073477,,0.46252,107998.0453,53999.02267
0.550647,1482.834345,1927.684648,,0.550647,1888.284508,3587.740565,,0.531576,2041.852998,2041.852998,,0.465504,108560.9235,54280.46175
0.553656,1465.159286,1904.707071,,0.553656,1871.81903,3556.456157,,0.534465,2013.537626,2013.537626,,0.468488,109074.614,54537.30701
0.556665,1424.537791,1851.899129,,0.556665,1871.54106,3555.928014,,0.537354,2021.642514,2021.642514,,0.471472,109667.8766,54833.93831
0.559674,1482.843109,1927.696042,,0.559674,1849.567503,3514.178257,,0.540243,2028.296954,2028.296954,,0.474456,110249.221,55124.61052
0.562683,1429.957203,1858.944363,,0.562683,1829.323715,3475.715058,,0.543132,1979.972421,1979.972421,,0.47744,111124.9096,55562.4548
0.565692,1414.138797,1838.380437,,0.565692,1828.316597,3473.801535,,0.546021,1935.528667,1935.528667,,0.486392,113695.8538,56847.9269
0.568701,1404.435582,1825.766257,,0.568701,1852.383205,3519.528089,,0.54891,1931.096838,1931.096838,,0.489376,114328.6716,57164.33579
0.57171,1410.505761,1833.657489,,0.57171,1814.391779,3447.34438,,0.551799,1960.602791,1960.602791,,0.49236,113673.2532,56836.62662
0.574719,1478.280362,1921.764471,,0.574719,1841.841876,3499.499565,,0.554688,1928.331873,1928.331873,,0.495344,114197.1599,57098.57995
0.577728,1415.063859,1839.583017,,0.577728,1836.501245,3489.352365,,0.557577,1873.197526,1873.197526,,0.498328,114705.8586,57352.92928
0.580737,1435.304996,1865.896495,,0.580737,1853.620887,3521.879685,,0.5604661,1896.361073,1896.361073,,0.501312,115399.3339,57699.66693
0.583746,1421.267542,1847.647805,,0.583746,1841.368518,3498.600185,,0.563355,1900.504767,1900.504767,,0.504296,115817.0992,57908.5496
