ODPA-AP6F-ODPA-PEG1500 (40%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc 2 step,,,,ODPA-AP6F-ODPA-PEG990 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG3400 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) NMP,,,,ODPA-AP6F-ODPA-PEG2000 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (30%) DMAc,,,,ODPA-AP6F-ODPA-PEG6000 (50%) DMAc,,
0.18476,45586.76629,13676.02989,27352.05977,0.211608,33108.6371,43041.22823,,0.220425,18004.86256,5041.361518,,0.217486,26493.17321,13246.5866,52986.34641,0.211608,98726.68869,66146.88143,,0.217486,25711.85658,10284.74263,,0.174638,47835.63888,22961.10666,,0.36054671,818.554252,8185.54252,,0.185157,455627.4777,592315.721
0.18774,45028.54141,13508.56242,27017.12484,0.214547,32774.28926,42606.57604,,0.223364,18282.08677,5118.984295,,0.220425,26053.45572,13026.72786,52106.91145,0.214547,98325.95411,65878.38925,,0.220425,25487.04494,10194.81797,,0.177649,47643.45344,22868.85765,,0.36944911,836.0747405,8360.747405,,0.188096,447960.6737,582348.8758
0.19072,45086.40185,13525.92055,27051.84111,0.217486,32741.55467,42564.02106,,0.226303,18427.14572,5159.6008,,0.223364,26015.3344,13007.6672,52030.6688,0.217486,98538.88056,66021.04997,,0.223364,25483.06943,10193.22777,,0.18066,47410.4433,22757.01278,,0.37835151,836.44312,8364.4312,,0.191035,442171.0258,574822.3335
0.1937,44932.5632,13479.76896,26959.53792,0.220425,32675.26012,42477.83816,,0.229242,18067.54851,5058.913582,,0.226303,26197.05222,13098.52611,52394.10445,0.220425,98528.98767,66014.42174,,0.226303,25728.94855,10291.57942,,0.183671,47056.15811,22586.95589,,0.38725387,835.2626142,8352.626142,,0.193974,435073.6817,565595.7862
0.19668,44359.63293,13307.88988,26615.77976,0.223364,32628.11406,42416.54828,,0.232181,18242.53263,5107.909136,,0.229242,26059.37545,13029.68772,52118.7509,0.223364,98950.19123,66296.62812,,0.229242,25647.54867,10259.01947,,0.186682,47031.99301,22575.35664,,0.39615627,847.8529798,8478.529798,,0.196913,427942.2312,556324.9005
0.19966,44046.0795,13213.82385,26427.6477,0.226303,32755.94797,42582.73236,,0.23512,18128.5485,5075.993579,,0.232181,25976.07014,12988.03507,51952.14029,0.226303,99460.69621,66638.66646,,0.232181,25472.69028,10189.07611,,0.189693,47100.73427,22608.35245,,0.40505867,833.6477807,8336.477807,,0.199852,421868.0083,548428.4108
0.20264,43800.46927,13140.14078,26280.28156,0.229242,32545.58652,42309.26247,,0.238059,17867.85968,5003.00071,,0.23512,26004.48327,13002.24164,52008.96654,0.229242,99121.57112,66411.45265,,0.23512,25246.10555,10098.44222,,0.192704,47153.71103,22633.7813,,0.41396104,829.9191239,8299.191239,,0.202791,416201.8424,541062.3951
0.20562,43502.24916,13050.67475,26101.3495,0.232181,32470.13089,42211.17016,,0.240998,17762.30684,4973.445915,,0.238059,25947.63192,12973.81596,51895.26385,0.232181,98812.33467,66204.26423,,0.238059,25238.75101,10095.5004,,0.195715,46733.04185,22431.86009,,0.42286344,836.5802455,8365.802455,,0.20573,409202.319,531963.0148
0.2086,43585.55374,13075.66612,26151.33224,0.23512,32716.17614,42531.02898,,0.243937,17610.52564,4930.947181,,0.240998,26327.87503,13163.93752,52655.75006,0.23512,98869.2921,66242.42571,,0.240998,25272.89223,10109.15689,,0.198726,46337.27133,22241.89024,,0.43176584,816.4640818,8164.640818,,0.208669,404075.0814,525297.6058
0.21158,43719.49934,13115.8498,26231.6996,0.238059,33050.55267,42965.71847,,0.246876,17776.80249,4977.504697,,0.243937,26559.84141,13279.92071,53119.68283,0.238059,99102.22814,66398.49286,,0.243937,24897.16776,9958.867103,,0.201737,46287.11347,22217.81446,,0.4406682,825.6295176,8256.295176,,0.211608,398023.0746,517429.997
0.21456,43663.09078,13098.92723,26197.85447,0.240998,32986.09404,42881.92225,,0.249815,17731.46638,4964.810585,,0.246876,26575.00938,13287.50469,53150.01876,0.240998,99731.03072,66819.79058,,0.246876,24980.66871,9992.267483,,0.204748,46521.25143,22330.20069,,0.4495706,839.8974805,8398.974805,,0.214547,391906.7812,509478.8155
0.21754,43451.77875,13035.53363,26071.06725,0.243937,33132.69866,43072.50826,,0.252754,17740.15527,4967.243476,,0.249815,26443.03148,13221.51574,52886.06297,0.243937,100580.0106,67388.60709,,0.249815,25507.72446,10203.08979,,0.207759,46683.88752,22408.26601,,0.458473,834.0943609,8340.943609,,0.217486,385652.7678,501348.5981
0.22052,43017.27343,12905.18203,25810.36406,0.246876,33614.409,43698.7317,,0.255693,17700.94134,4956.263576,,0.252754,26949.86388,13474.93194,53899.72775,0.246876,100538.1848,67360.58381,,0.252754,25489.1749,10195.66996,,0.21077,46247.04467,22198.58144,,0.46737537,865.5017944,8655.017944,,0.220425,379862.2408,493820.913
